schema,model,T,topk,P,strategy,questions,minutes,keys
abalone,Qwen3-30B-A3B-Thinking-2507,9,1,1,DA-TD,1,0.5093,
abalone,Qwen3-30B-A3B-Thinking-2507,9,1,1,DA-TB,1,0.5098,
abalone,Qwen3-30B-A3B-Thinking-2507,9,1,1,DA-BD,2,1.9284,
abalone,Qwen3-30B-A3B-Thinking-2507,9,1,1,DA-BB,2,1.8792,
abalone,Qwen3-30B-A3B-Thinking-2507,9,2,2,DA-TD,3,4.1644,"rings,sex"
abalone,Qwen3-30B-A3B-Thinking-2507,9,2,2,DA-TB,3,4.2357,"rings,sex"
abalone,Qwen3-30B-A3B-Thinking-2507,9,2,2,DA-BD,4,6.0194,"rings,sex"
abalone,Qwen3-30B-A3B-Thinking-2507,9,2,2,DA-BB,4,5.8967,"rings,sex"
abalone,Qwen3-30B-A3B-Thinking-2507,9,3,3,DA-TD,4,5.9141,"diameter,height,length"
abalone,Qwen3-30B-A3B-Thinking-2507,9,3,3,DA-TB,4,5.8459,"diameter,height,length"
abalone,Qwen3-30B-A3B-Thinking-2507,9,3,3,DA-BD,7,7.6606,"diameter,height,length"
abalone,Qwen3-30B-A3B-Thinking-2507,9,3,3,DA-BB,7,7.6507,"diameter,height,length"
abalone,Qwen3-30B-A3B-Thinking-2507,9,4,4,DA-TD,5,6.0131,"diameter,height,length,whole_weight"
abalone,Qwen3-30B-A3B-Thinking-2507,9,4,4,DA-TB,5,5.9426,"diameter,height,length,whole_weight"
abalone,Qwen3-30B-A3B-Thinking-2507,9,4,4,DA-BD,11,10.2490,"diameter,height,length,whole_weight"
abalone,Qwen3-30B-A3B-Thinking-2507,9,4,4,DA-BB,11,10.3240,"diameter,height,length,whole_weight"
abalone,Qwen3-30B-A3B-Thinking-2507,9,5,5,DA-TD,6,5.4264,"diameter,height,length,shucked_weight,whole_weight"
abalone,Qwen3-30B-A3B-Thinking-2507,9,5,5,DA-TB,6,5.4201,"diameter,height,length,shucked_weight,whole_weight"
abalone,Qwen3-30B-A3B-Thinking-2507,9,5,5,DA-BD,16,14.0926,"diameter,height,length,shucked_weight,whole_weight"
abalone,Qwen3-30B-A3B-Thinking-2507,9,5,5,DA-BB,16,14.1120,"diameter,height,length,shucked_weight,whole_weight"
routes,Qwen3-30B-A3B-Thinking-2507,9,1,1,DA-TD,1,2.2578,
routes,Qwen3-30B-A3B-Thinking-2507,9,1,1,DA-TB,1,2.2350,
routes,Qwen3-30B-A3B-Thinking-2507,9,1,1,DA-BD,2,3.9701,
routes,Qwen3-30B-A3B-Thinking-2507,9,1,1,DA-BB,2,3.9619,
routes,Qwen3-30B-A3B-Thinking-2507,9,2,2,DA-TD,3,1.8441,"airline_id,source_airport_id"
routes,Qwen3-30B-A3B-Thinking-2507,9,2,2,DA-TB,3,1.8365,"airline_id,source_airport_id"
routes,Qwen3-30B-A3B-Thinking-2507,9,2,2,DA-BD,4,2.7393,"airline_id,source_airport_id"
routes,Qwen3-30B-A3B-Thinking-2507,9,2,2,DA-BB,4,2.7082,"airline_id,source_airport_id"
routes,Qwen3-30B-A3B-Thinking-2507,9,3,3,DA-TD,4,1.9743,"airline_id,destination_airport_id,source_airport_id"
routes,Qwen3-30B-A3B-Thinking-2507,9,3,3,DA-TB,4,1.9898,"airline_id,destination_airport_id,source_airport_id"
routes,Qwen3-30B-A3B-Thinking-2507,9,3,3,DA-BD,7,4.3226,"airline_id,destination_airport_id,source_airport_id"
routes,Qwen3-30B-A3B-Thinking-2507,9,3,3,DA-BB,7,4.3176,"airline_id,destination_airport_id,source_airport_id"
routes,Qwen3-30B-A3B-Thinking-2507,9,4,4,DA-TD,5,3.7888,"airline,destination_airport,source_airport,stops"
routes,Qwen3-30B-A3B-Thinking-2507,9,4,4,DA-TB,5,3.7610,"airline,destination_airport,source_airport,stops"
routes,Qwen3-30B-A3B-Thinking-2507,9,4,4,DA-BD,11,8.9523,"airline,destination_airport,source_airport,stops"
routes,Qwen3-30B-A3B-Thinking-2507,9,4,4,DA-BB,11,8.9310,"airline,destination_airport,source_airport,stops"
routes,Qwen3-30B-A3B-Thinking-2507,9,5,5,DA-TD,11,21.2592,"airline_id,destination_airport,source_airport | airline_id,destination_airport,source_airport_id | airline_id,destination_airport_id,source_airport_id"
routes,Qwen3-30B-A3B-Thinking-2507,9,5,5,DA-TB,12,22.9849,"airline_id,destination_airport,source_airport | airline_id,destination_airport,source_airport_id | airline_id,destination_airport_id,source_airport_id"
