schema,model,T,topk,P,strategy,questions,minutes,keys
abalone,DeepSeek-R1-Distill-Llama-70B,9,1,1,DA-TD,1,0.9135,
abalone,DeepSeek-R1-Distill-Llama-70B,9,1,1,DA-TB,1,0.9134,
abalone,DeepSeek-R1-Distill-Llama-70B,9,1,1,DA-BD,2,1.4817,
abalone,DeepSeek-R1-Distill-Llama-70B,9,1,1,DA-BB,2,1.4814,
abalone,DeepSeek-R1-Distill-Llama-70B,9,2,2,DA-TD,1,0.8761,
abalone,DeepSeek-R1-Distill-Llama-70B,9,2,2,DA-TB,1,0.8763,
abalone,DeepSeek-R1-Distill-Llama-70B,9,2,2,DA-BD,3,2.0530,
abalone,DeepSeek-R1-Distill-Llama-70B,9,2,2,DA-BB,3,2.0529,
abalone,DeepSeek-R1-Distill-Llama-70B,9,3,3,DA-TD,4,3.1653,"diameter,length"
abalone,DeepSeek-R1-Distill-Llama-70B,9,3,3,DA-TB,4,3.1654,"diameter,length"
abalone,DeepSeek-R1-Distill-Llama-70B,9,3,3,DA-BD,6,4.4589,"diameter,length"
abalone,DeepSeek-R1-Distill-Llama-70B,9,3,3,DA-BB,6,4.4586,"diameter,length"
abalone,DeepSeek-R1-Distill-Llama-70B,9,4,4,DA-TD,5,4.5614,"diameter,height,length,rings"
abalone,DeepSeek-R1-Distill-Llama-70B,9,4,4,DA-TB,5,4.5610,"diameter,height,length,rings"
abalone,DeepSeek-R1-Distill-Llama-70B,9,4,4,DA-BD,11,10.3031,"diameter,height,rings"
abalone,DeepSeek-R1-Distill-Llama-70B,9,4,4,DA-BB,11,10.3035,"diameter,height,rings"
abalone,DeepSeek-R1-Distill-Llama-70B,9,5,5,DA-TD,9,11.0952,"diameter,height,rings"
abalone,DeepSeek-R1-Distill-Llama-70B,9,5,5,DA-TB,9,11.0915,"diameter,height,rings"
abalone,DeepSeek-R1-Distill-Llama-70B,9,5,5,DA-BD,14,12.1678,"height,rings,whole_weight"
abalone,DeepSeek-R1-Distill-Llama-70B,9,5,5,DA-BB,14,12.1684,"height,rings,whole_weight"
routes,DeepSeek-R1-Distill-Llama-70B,9,1,3,DA-TD,4,2.5299,"airline_id,destination_airport_id,source_airport_id"
routes,DeepSeek-R1-Distill-Llama-70B,9,1,3,DA-TB,4,2.5296,"airline_id,destination_airport_id,source_airport_id"
routes,DeepSeek-R1-Distill-Llama-70B,9,1,3,DA-BD,7,4.8398,"airline_id,destination_airport_id,source_airport_id"
routes,DeepSeek-R1-Distill-Llama-70B,9,1,3,DA-BB,7,4.8402,"airline_id,destination_airport_id,source_airport_id"
routes,DeepSeek-R1-Distill-Llama-70B,9,2,2,DA-TD,3,2.1575,"destination_airport_id,source_airport_id"
routes,DeepSeek-R1-Distill-Llama-70B,9,2,2,DA-TB,3,2.1576,"destination_airport_id,source_airport_id"
routes,DeepSeek-R1-Distill-Llama-70B,9,2,2,DA-BD,4,2.9358,"destination_airport_id,source_airport_id"
routes,DeepSeek-R1-Distill-Llama-70B,9,2,2,DA-BB,4,2.9355,"destination_airport_id,source_airport_id"
routes,DeepSeek-R1-Distill-Llama-70B,9,3,3,DA-TD,4,2.5297,"airline_id,destination_airport_id,source_airport_id"
routes,DeepSeek-R1-Distill-Llama-70B,9,3,3,DA-TB,4,2.5298,"airline_id,destination_airport_id,source_airport_id"
routes,DeepSeek-R1-Distill-Llama-70B,9,3,3,DA-BD,7,4.8408,"airline_id,destination_airport_id,source_airport_id"
